class_id,species,folder,count,status,file
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_116349.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_116357.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_120994.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_120995.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_164956.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165027.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165028.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165029.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165571.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165573.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165975.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165981.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165986.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165995.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_165997.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_166003.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_166007.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_166010.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_166057.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_167066.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_167068.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_286476.mp3
1,Black footed Albatross,001.Black_footed_Albatross,23,OK,Black_footed_Albatross_872903.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_118046.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_118047.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_118048.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_118049.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_118050.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_119603.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120766.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120767.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120768.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120770.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120772.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120775.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120777.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120778.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120779.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120849.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120854.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120976.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120977.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120979.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_120980.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_121645.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_121757.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_121871.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_121872.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_123464.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_124314.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_124315.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_124316.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_124317.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_124318.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_124319.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_124322.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_124323.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_125316.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_135837.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_164431.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_178537.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_178538.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_180040.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_209430.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_730150.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_730151.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_730152.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_730153.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_730154.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_862222.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_862227.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_862230.mp3
2,Laysan Albatross,002.Laysan_Albatross,50,OK,Laysan_Albatross_862248.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_197645.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_198386.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_207198.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_207199.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_221793.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_221794.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_221795.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_238207.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_238209.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_250729.mp3
4,Groove billed Ani,004.Groove_billed_Ani,50,OK,Groove_billed_Ani_257727.mp3
