file_path,class_id,species,xc_id,xc_url
001.Black_footed_Albatross/Black_footed_Albatross_166007.mp3,1,Black footed Albatross,166007,https://xeno-canto.org/166007
001.Black_footed_Albatross/Black_footed_Albatross_165027.mp3,1,Black footed Albatross,165027,https://xeno-canto.org/165027
001.Black_footed_Albatross/Black_footed_Albatross_166010.mp3,1,Black footed Albatross,166010,https://xeno-canto.org/166010
001.Black_footed_Albatross/Black_footed_Albatross_166057.mp3,1,Black footed Albatross,166057,https://xeno-canto.org/166057
001.Black_footed_Albatross/Black_footed_Albatross_165986.mp3,1,Black footed Albatross,165986,https://xeno-canto.org/165986
001.Black_footed_Albatross/Black_footed_Albatross_116349.mp3,1,Black footed Albatross,116349,https://xeno-canto.org/116349
001.Black_footed_Albatross/Black_footed_Albatross_167068.mp3,1,Black footed Albatross,167068,https://xeno-canto.org/167068
001.Black_footed_Albatross/Black_footed_Albatross_165571.mp3,1,Black footed Albatross,165571,https://xeno-canto.org/165571
001.Black_footed_Albatross/Black_footed_Albatross_165029.mp3,1,Black footed Albatross,165029,https://xeno-canto.org/165029
001.Black_footed_Albatross/Black_footed_Albatross_116357.mp3,1,Black footed Albatross,116357,https://xeno-canto.org/116357
001.Black_footed_Albatross/Black_footed_Albatross_165981.mp3,1,Black footed Albatross,165981,https://xeno-canto.org/165981
001.Black_footed_Albatross/Black_footed_Albatross_167066.mp3,1,Black footed Albatross,167066,https://xeno-canto.org/167066
001.Black_footed_Albatross/Black_footed_Albatross_286476.mp3,1,Black footed Albatross,286476,https://xeno-canto.org/286476
001.Black_footed_Albatross/Black_footed_Albatross_165995.mp3,1,Black footed Albatross,165995,https://xeno-canto.org/165995
001.Black_footed_Albatross/Black_footed_Albatross_120995.mp3,1,Black footed Albatross,120995,https://xeno-canto.org/120995
001.Black_footed_Albatross/Black_footed_Albatross_120994.mp3,1,Black footed Albatross,120994,https://xeno-canto.org/120994
001.Black_footed_Albatross/Black_footed_Albatross_165975.mp3,1,Black footed Albatross,165975,https://xeno-canto.org/165975
001.Black_footed_Albatross/Black_footed_Albatross_165573.mp3,1,Black footed Albatross,165573,https://xeno-canto.org/165573
001.Black_footed_Albatross/Black_footed_Albatross_166003.mp3,1,Black footed Albatross,166003,https://xeno-canto.org/166003
001.Black_footed_Albatross/Black_footed_Albatross_165997.mp3,1,Black footed Albatross,165997,https://xeno-canto.org/165997
001.Black_footed_Albatross/Black_footed_Albatross_872903.mp3,1,Black footed Albatross,872903,https://xeno-canto.org/872903
001.Black_footed_Albatross/Black_footed_Albatross_165028.mp3,1,Black footed Albatross,165028,https://xeno-canto.org/165028
001.Black_footed_Albatross/Black_footed_Albatross_164956.mp3,1,Black footed Albatross,164956,https://xeno-canto.org/164956
002.Laysan_Albatross/Laysan_Albatross_730152.mp3,2,Laysan Albatross,730152,https://xeno-canto.org/730152
002.Laysan_Albatross/Laysan_Albatross_862230.mp3,2,Laysan Albatross,862230,https://xeno-canto.org/862230
002.Laysan_Albatross/Laysan_Albatross_180040.mp3,2,Laysan Albatross,180040,https://xeno-canto.org/180040
002.Laysan_Albatross/Laysan_Albatross_120772.mp3,2,Laysan Albatross,120772,https://xeno-canto.org/120772
002.Laysan_Albatross/Laysan_Albatross_730151.mp3,2,Laysan Albatross,730151,https://xeno-canto.org/730151
002.Laysan_Albatross/Laysan_Albatross_120777.mp3,2,Laysan Albatross,120777,https://xeno-canto.org/120777
002.Laysan_Albatross/Laysan_Albatross_135837.mp3,2,Laysan Albatross,135837,https://xeno-canto.org/135837
002.Laysan_Albatross/Laysan_Albatross_164431.mp3,2,Laysan Albatross,164431,https://xeno-canto.org/164431
002.Laysan_Albatross/Laysan_Albatross_120854.mp3,2,Laysan Albatross,120854,https://xeno-canto.org/120854
002.Laysan_Albatross/Laysan_Albatross_120976.mp3,2,Laysan Albatross,120976,https://xeno-canto.org/120976
002.Laysan_Albatross/Laysan_Albatross_209430.mp3,2,Laysan Albatross,209430,https://xeno-canto.org/209430
002.Laysan_Albatross/Laysan_Albatross_120767.mp3,2,Laysan Albatross,120767,https://xeno-canto.org/120767
002.Laysan_Albatross/Laysan_Albatross_730154.mp3,2,Laysan Albatross,730154,https://xeno-canto.org/730154
002.Laysan_Albatross/Laysan_Albatross_124319.mp3,2,Laysan Albatross,124319,https://xeno-canto.org/124319
