file_path,class_id,species,image_id,segment_number
001.Black_footed_Albatross/Black_footed_Albatross_116349_seg0.png,1,Black footed Albatross,Black_footed_Albatross_116349,0
001.Black_footed_Albatross/Black_footed_Albatross_116349_seg1.png,1,Black footed Albatross,Black_footed_Albatross_116349,1
001.Black_footed_Albatross/Black_footed_Albatross_116357_seg0.png,1,Black footed Albatross,Black_footed_Albatross_116357,0
001.Black_footed_Albatross/Black_footed_Albatross_116357_seg1.png,1,Black footed Albatross,Black_footed_Albatross_116357,1
001.Black_footed_Albatross/Black_footed_Albatross_116357_seg2.png,1,Black footed Albatross,Black_footed_Albatross_116357,2
001.Black_footed_Albatross/Black_footed_Albatross_120994_seg0.png,1,Black footed Albatross,Black_footed_Albatross_120994,0
001.Black_footed_Albatross/Black_footed_Albatross_120994_seg1.png,1,Black footed Albatross,Black_footed_Albatross_120994,1
001.Black_footed_Albatross/Black_footed_Albatross_120994_seg2.png,1,Black footed Albatross,Black_footed_Albatross_120994,2
001.Black_footed_Albatross/Black_footed_Albatross_120995_seg0.png,1,Black footed Albatross,Black_footed_Albatross_120995,0
001.Black_footed_Albatross/Black_footed_Albatross_120995_seg1.png,1,Black footed Albatross,Black_footed_Albatross_120995,1
001.Black_footed_Albatross/Black_footed_Albatross_120995_seg2.png,1,Black footed Albatross,Black_footed_Albatross_120995,2
001.Black_footed_Albatross/Black_footed_Albatross_164956.png,1,Black footed Albatross,Black_footed_Albatross_164956,0
001.Black_footed_Albatross/Black_footed_Albatross_165027.png,1,Black footed Albatross,Black_footed_Albatross_165027,0
001.Black_footed_Albatross/Black_footed_Albatross_165028_seg0.png,1,Black footed Albatross,Black_footed_Albatross_165028,0
001.Black_footed_Albatross/Black_footed_Albatross_165028_seg1.png,1,Black footed Albatross,Black_footed_Albatross_165028,1
001.Black_footed_Albatross/Black_footed_Albatross_165029_seg0.png,1,Black footed Albatross,Black_footed_Albatross_165029,0
001.Black_footed_Albatross/Black_footed_Albatross_165029_seg1.png,1,Black footed Albatross,Black_footed_Albatross_165029,1
001.Black_footed_Albatross/Black_footed_Albatross_165571.png,1,Black footed Albatross,Black_footed_Albatross_165571,0
001.Black_footed_Albatross/Black_footed_Albatross_165573.png,1,Black footed Albatross,Black_footed_Albatross_165573,0
001.Black_footed_Albatross/Black_footed_Albatross_165975.png,1,Black footed Albatross,Black_footed_Albatross_165975,0
001.Black_footed_Albatross/Black_footed_Albatross_165981.png,1,Black footed Albatross,Black_footed_Albatross_165981,0
001.Black_footed_Albatross/Black_footed_Albatross_165986.png,1,Black footed Albatross,Black_footed_Albatross_165986,0
001.Black_footed_Albatross/Black_footed_Albatross_165995.png,1,Black footed Albatross,Black_footed_Albatross_165995,0
001.Black_footed_Albatross/Black_footed_Albatross_165997.png,1,Black footed Albatross,Black_footed_Albatross_165997,0
001.Black_footed_Albatross/Black_footed_Albatross_166003_seg0.png,1,Black footed Albatross,Black_footed_Albatross_166003,0
001.Black_footed_Albatross/Black_footed_Albatross_166003_seg1.png,1,Black footed Albatross,Black_footed_Albatross_166003,1
001.Black_footed_Albatross/Black_footed_Albatross_166007_seg0.png,1,Black footed Albatross,Black_footed_Albatross_166007,0
001.Black_footed_Albatross/Black_footed_Albatross_166007_seg1.png,1,Black footed Albatross,Black_footed_Albatross_166007,1
001.Black_footed_Albatross/Black_footed_Albatross_166007_seg2.png,1,Black footed Albatross,Black_footed_Albatross_166007,2
001.Black_footed_Albatross/Black_footed_Albatross_166007_seg3.png,1,Black footed Albatross,Black_footed_Albatross_166007,3
